target,feature_set,version,variant,family,inner_model,n_hits,hit_criteria,loso_mae_median,loso_mae_std,raw_mae_min,kalman_mae_min,rho,r2,loso_n_subjects
lt1,EMG,v0104,noabs,lstm,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.3825,1.7864,5.2778,5.176,0.45,0.023,18
lt1,EMG,v0106a,with_abs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.7686,1.6102,5.2686,5.1909,0.484,0.064,18
lt1,EMG,v0106a,noabs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.7926,1.6398,5.3287,5.2479,0.409,0.046,18
lt1,EMG,v0106b,with_abs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.6393,1.6321,5.3244,5.2299,0.277,0.057,18
lt1,EMG,v0106b,noabs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.5716,1.5022,5.1508,5.0756,0.387,0.106,18
lt1,EMG,v0011,with_abs,linear,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.9425,1.9975,3.7667,3.8528,0.71,0.437,18
lt1,EMG,v0011,noabs,linear,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.9425,1.9975,3.7667,3.8528,0.71,0.437,18
lt1,EMG,v0101,with_abs,lstm,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,4.4756,1.9097,5.4044,5.256,0.58,-0.037,18
lt1,EMG,v0101,noabs,lstm,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,4.5606,1.9173,5.4065,5.2568,0.555,-0.039,18
lt1,EMG,v0104,with_abs,lstm,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; r2 ↓,4.4799,1.8311,5.3827,5.2648,0.248,-0.01,18
lt1,EMG,v0106c,noabs,wavelet,,4,loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.705,1.6418,5.419,5.3736,0.418,0.01,18
lt1,EMG,v0106c,with_abs,wavelet,,3,loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.7592,1.6578,5.4262,5.3837,0.362,0.005,18
